French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
car,because
aucun,no
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
côté,side
pouvoir,power
sois,be
tellement,so much
point,point
suite,after
venez,come
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
